MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
22,ward.D,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
23,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
24,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
25,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
26,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
27,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
28,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
29,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
30,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
31,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
32,ward.D,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
33,ward.D,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
6,ward.D2,delta,0.0796812749003984,0.15941231695911603,0.5,0.6373626373626373,0.4224601649796979,2,Anderson_no_king_killer_1715_wbq_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Philosophical_Transactions_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson_Royal_Geneologies_tagged Desaguliers_Electrical_1729_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged,Desaguliers,Stukeley
