MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
120,centroid,canberra,-0.115586690017513,-0.0825463326739355,0.75,0.384615384615385,0.1742449429984,1,Anderson_1 Anderson_2 Anderson_4 Desaguliers_1 Desaguliers_4 Desaguliers_5 Desaguliers_6 Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Desaguliers
125,centroid,canberra,-0.115586690017513,-0.0825463326739355,0.75,0.384615384615385,0.1742449429984,1,Anderson_1 Anderson_2 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Desaguliers
130,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
135,centroid,canberra,-0.115586690017513,-0.0825463326739355,0.75,0.384615384615385,0.1742449429984,1,Anderson_1 Anderson_2 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Desaguliers
140,centroid,canberra,-0.115586690017513,-0.0825463326739355,0.75,0.384615384615385,0.1742449429984,1,Anderson_1 Anderson_2 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Desaguliers
145,centroid,canberra,-0.0359019264448336,-0.0192616334396172,0.75,0.428571428571429,0.22251785183038,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_4 Desaguliers_5 Desaguliers_6 Folkes_2 Stukeley_ 1 Stukeley_ 2,Desaguliers,Desaguliers,Folkes
150,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
155,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
160,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
165,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
170,centroid,canberra,0.123467600700525,0.164203725847738,0.75,0.516483516483516,0.362463315265598,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
175,centroid,canberra,-0.0359019264448336,-0.0192616334396172,0.75,0.428571428571429,0.22251785183038,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_4 Desaguliers_5 Desaguliers_6 Folkes_1 Stukeley_ 1 Stukeley_ 2,Desaguliers,Desaguliers,Folkes
180,centroid,canberra,-0.0359019264448336,-0.0192616334396172,0.75,0.428571428571429,0.22251785183038,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_4 Desaguliers_5 Desaguliers_6 Folkes_1 Stukeley_ 1 Stukeley_ 2,Desaguliers,Desaguliers,Folkes
